Player,Season,Club,Goals,Assists,Goal_Contribution,Shot_Accuracy,Defensive_Contribution,Minutes_Per_Appearance,Discipline_Score,Age,Position,Market_Value_EUR
Aaron Ramsey,2015-2016,Arsenal,5.0,4.0,9.0,30.434782608695656,165.0,84.61290322580645,4.0,24,MF,33000000
Alex Iwobi,2015-2016,Arsenal,2.0,0.0,2.0,46.66666666666666,12.0,48.61538461538461,0.0,19,FW,3600000
Alex Oxlade-Chamberlain,2015-2016,Arsenal,1.0,0.0,1.0,0.0,49.0,41.77272727272727,0.0,21,MF,22000000
Alexis Sanchez,2015-2016,Arsenal,13.0,4.0,17.0,35.51401869158878,80.0,81.53333333333333,1.0,26,FW,49500000
Calum Chambers,2015-2016,Arsenal,0.0,1.0,1.0,12.5,8.0,23.0,2.0,20,DF,10800000
Danny Welbeck,2015-2016,Arsenal,4.0,2.0,6.0,55.00000000000001,19.0,52.54545454545455,1.0,24,FW,15300000
Francis Coquelin,2015-2016,Arsenal,0.0,0.0,0.0,0.0,177.0,63.30769230769231,8.0,24,MF,16500000
Gabriel Paulista,2015-2016,Arsenal,1.0,0.0,1.0,36.36363636363637,229.0,83.85714285714286,7.0,24,DF,10800000
Hector Bellerin,2015-2016,Arsenal,1.0,5.0,6.0,23.07692307692308,216.0,90.0,3.0,20,DF,18000000
Joel Campbell,2015-2016,Arsenal,3.0,0.0,3.0,36.84210526315789,42.0,46.68421052631579,0.0,23,FW,7200000
Kieran Gibbs,2015-2016,Arsenal,1.0,0.0,1.0,20.0,33.0,25.4,0.0,25,DF,11700000
Laurent Koscielny,2015-2016,Arsenal,4.0,0.0,4.0,42.10526315789473,386.0,86.24242424242425,3.0,29,DF,19800000
Mathieu Flamini,2015-2016,Arsenal,0.0,0.0,0.0,0.0,104.0,68.0625,3.0,31,MF,8100000
Mesut Özil,2015-2016,Arsenal,6.0,19.0,25.0,42.5531914893617,67.0,87.05714285714286,4.0,26,MF,49500000
Mohamed Elneny,2015-2016,Arsenal,0.0,1.0,1.0,0.0,45.0,72.18181818181819,3.0,23,MF,11000000
Nacho Monreal,2015-2016,Arsenal,0.0,3.0,3.0,0.0,310.0,87.78378378378379,1.0,29,DF,15000000
Olivier Giroud,2015-2016,Arsenal,16.0,6.0,22.0,42.57425742574257,74.0,63.78947368421053,2.0,28,FW,27500000
Per Mertesacker,2015-2016,Arsenal,0.0,0.0,0.0,0.0,181.0,85.375,4.0,30,DF,9000000
Santi Cazorla,2015-2016,Arsenal,2.0,2.0,4.0,50.0,13.0,44.583333333333336,3.0,30,MF,18000000
Theo Walcott,2015-2016,Arsenal,5.0,2.0,7.0,48.888888888888886,33.0,49.07142857142857,0.0,26,FW,22000000
Adama Traoré,2015-2016,Aston Villa,0.0,0.0,0.0,0.0,0.0,18.4,1.0,19,FW,6300000
Alan Hutton,2015-2016,Aston Villa,0.0,1.0,1.0,0.0,169.0,83.21428571428571,9.0,30,DF,2000000
Aly Cissokho,2015-2016,Aston Villa,0.0,0.0,0.0,75.0,144.0,89.05555555555556,6.0,27,DF,1800000
Ashley Westwood,2015-2016,Aston Villa,2.0,2.0,4.0,23.684210526315788,155.0,90.63333333333334,6.0,25,MF,4400000
Carles Gil,2015-2016,Aston Villa,3.0,2.0,5.0,23.91304347826087,28.0,52.1764705882353,2.0,22,MF,3500000
Carlos Sánchez,2015-2016,Aston Villa,2.0,0.0,2.0,42.85714285714285,103.0,61.25,6.0,29,MF,3850000
Ciaran Clark,2015-2016,Aston Villa,1.0,0.0,1.0,20.0,211.0,80.11111111111111,6.0,25,DF,4050000
Gabriel Agbonlahor,2015-2016,Aston Villa,1.0,2.0,3.0,60.0,18.0,69.06666666666666,0.0,29,FW,2250000
Idrissa Gueye,2015-2016,Aston Villa,0.0,1.0,1.0,13.333333333333334,321.0,87.85714285714286,10.0,26,MF,19800000
Jack Grealish,2015-2016,Aston Villa,1.0,0.0,1.0,25.0,21.0,52.0,1.0,19,MF,19800000
Joleon Lescott,2015-2016,Aston Villa,1.0,0.0,1.0,27.27272727272727,327.0,90.64516129032258,2.0,32,DF,1350000
Jordan Amavi,2015-2016,Aston Villa,0.0,2.0,2.0,20.0,108.0,83.6,2.0,21,DF,9000000
Jordan Ayew,2015-2016,Aston Villa,7.0,0.0,7.0,35.59322033898305,73.0,78.4,9.0,23,FW,8250000
Jordan Veretout,2015-2016,Aston Villa,0.0,5.0,5.0,31.57894736842105,74.0,72.96,4.0,22,MF,11000000
Jores Okore,2015-2016,Aston Villa,0.0,0.0,0.0,0.0,156.0,90.0,1.0,22,DF,4000000
Kieran Richardson,2015-2016,Aston Villa,0.0,1.0,1.0,28.57142857142857,53.0,65.72727272727273,4.0,30,DF,1100000
Leandro Bacuna,2015-2016,Aston Villa,1.0,0.0,1.0,28.125,160.0,89.55555555555556,8.0,23,MF,3300000
Micah Richards,2015-2016,Aston Villa,1.0,1.0,2.0,18.181818181818183,260.0,88.8695652173913,3.0,27,DF,4000000
Rudy Gestede,2015-2016,Aston Villa,5.0,0.0,5.0,29.508196721311474,49.0,92.05555555555556,2.0,26,FW,6300000
Scott Sinclair,2015-2016,Aston Villa,0.0,3.0,3.0,33.33333333333333,70.0,86.13333333333334,5.0,26,FW,3150000
Abdul Rahman Baba,2015-2016,Chelsea,0.0,1.0,1.0,33.33333333333333,106.0,67.73333333333333,1.0,21,DF,12000000
Bertrand Traoré,2015-2016,Chelsea,2.0,0.0,2.0,35.294117647058826,14.0,37.3,0.0,19,MF,4400000
Branislav Ivanovic,2015-2016,Chelsea,2.0,0.0,2.0,25.0,231.0,88.42424242424242,5.0,31,DF,9000000
Cesar Azpilicueta,2015-2016,Chelsea,0.0,0.0,0.0,30.76923076923077,129.0,68.5,3.0,26,DF,20000000
Cesc Fàbregas,2015-2016,Chelsea,5.0,7.0,12.0,42.22222222222222,152.0,78.27027027027027,5.0,28,MF,49500000
Diego Costa,2015-2016,Chelsea,12.0,6.0,18.0,41.17647058823529,56.0,84.96428571428571,8.0,26,FW,40500000
Eden Hazard,2015-2016,Chelsea,4.0,3.0,7.0,38.88888888888889,39.0,91.25,2.0,24,FW,58500000
Gary Cahill,2015-2016,Chelsea,2.0,0.0,2.0,30.76923076923077,206.0,88.86363636363636,2.0,29,DF,14400000
John Obi Mikel,2015-2016,Chelsea,0.0,1.0,1.0,0.0,126.0,71.32,6.0,28,MF,3850000
John Terry,2015-2016,Chelsea,1.0,0.0,1.0,20.0,166.0,90.4090909090909,8.0,34,DF,2250000
Kenedy,2015-2016,Chelsea,1.0,0.0,1.0,23.07692307692308,33.0,39.285714285714285,0.0,19,MF,11000000
Kurt Zouma,2015-2016,Chelsea,0.0,0.0,0.0,11.76470588235294,199.0,83.3913043478261,0.0,20,DF,15300000
Loïc Rémy,2015-2016,Chelsea,1.0,0.0,1.0,38.46153846153847,4.0,21.923076923076923,0.0,28,FW,8100000
Nemanja Matic,2015-2016,Chelsea,2.0,2.0,4.0,23.52941176470588,208.0,73.36363636363636,7.0,27,MF,38500000
Oscar,2015-2016,Chelsea,3.0,3.0,6.0,30.76923076923077,98.0,65.66666666666667,4.0,23,MF,11000000
Pedro,2015-2016,Chelsea,7.0,2.0,9.0,28.07017543859649,65.0,70.34482758620689,3.0,28,FW,20700000
Radamel Falcao,2015-2016,Chelsea,1.0,0.0,1.0,0.0,6.0,22.8,1.0,29,FW,13500000
Ramires,2015-2016,Chelsea,2.0,0.0,2.0,50.0,45.0,50.583333333333336,1.0,28,MF,16500000
Ruben Loftus-Cheek,2015-2016,Chelsea,1.0,0.0,1.0,25.0,20.0,31.307692307692307,0.0,19,MF,5500000
Willian,2015-2016,Chelsea,5.0,6.0,11.0,33.33333333333333,68.0,78.54285714285714,5.0,26,FW,27000000
Bakary Sako,2015-2016,Crystal Palace,2.0,1.0,3.0,44.11764705882353,43.0,53.7,1.0,27,MF,7200000
Chung-Yong Lee,2015-2016,Crystal Palace,1.0,0.0,1.0,0.0,24.0,29.615384615384617,0.0,27,FW,1350000
Connor Wickham,2015-2016,Crystal Palace,5.0,3.0,8.0,26.47058823529412,40.0,63.04761904761905,1.0,22,FW,5400000
Damien Delaney,2015-2016,Crystal Palace,2.0,3.0,5.0,33.33333333333333,327.0,90.0,2.0,34,DF,1350000
Dwight Gayle,2015-2016,Crystal Palace,3.0,0.0,3.0,40.909090909090914,17.0,48.0,4.0,24,FW,5400000
Emmanuel Adebayor,2015-2016,Crystal Palace,1.0,1.0,2.0,33.33333333333333,10.0,51.333333333333336,1.0,31,FW,2250000
Fraizer Campbell,2015-2016,Crystal Palace,0.0,0.0,0.0,25.0,9.0,32.72727272727273,1.0,27,FW,2250000
James McArthur,2015-2016,Crystal Palace,2.0,2.0,4.0,25.0,151.0,78.28571428571429,5.0,27,MF,6000000
Jason Puncheon,2015-2016,Crystal Palace,2.0,3.0,5.0,25.925925925925924,99.0,84.64516129032258,3.0,29,MF,6050000
Joe Ledley,2015-2016,Crystal Palace,1.0,0.0,1.0,0.0,84.0,51.578947368421055,1.0,28,MF,3850000
